Date,Record Number,Record Type,Address,Description,Permit Name,Status,Short Notes
1/30/2019,QCR-2019-00506,Multi-Family QCR,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",Unit 38 - Interior fit-up of previously permitted condominium building shell.,Peachtree Hills Place - Randall - Unit 38,Create Application,
1/30/2019,BE-201901205,Residential - Electrical,"1769 ELLEN ST NW, ATLANTA GA 30318",1769 Ellen St T-pole Inspection,1769 Ellen St T-pole Inspection,Closed - Passed,
1/30/2019,19TMP-003899,Residential - Plumbing,"609 FEDERAL TER SE, ATLANTA GA 00000",,,,
1/30/2019,BA-201900715,Arborist Plan Review,"1316 WEST FAIR ST SW, ATLANTA GA 30314",,JNB DEVELOPMENT - 2ND STORY ADDITION SINGLE FAMILY RESIDENCE-CO,Approved-No Trees Destroyed,
1/30/2019,QCR-2019-00510,Residential QCR,"4235 LAKE FORREST DR NE, ATLANTA GA 30342","REMOVE EXISTING GARAGE ROOF,INSTALL FLAT MEMBRANE ROOF AND REMOVE EXISTING SHINGLE FROM REST OF ROOF AND INSTALL METAL ROOF,NEW STAIRS FROM REAR OF YARD TO GARAGE ROOF,NEW FIREPLACE AND CHIMNEY",TABASSIAN RESIDENCE,Plan Inspection,
1/30/2019,BB-201900691,Residential Alteration,"346 SINCLAIR AVE NE, ATLANTA GA 30307",ENCLOSE EXISTING REAR PORCH INTO SCREEN PORCH WITH FIREPLACE. CONSTRUCT NEW REAR DECK.,JOURDAN - ALTERATIONS - XPRS,Issued,
1/30/2019,BA-201900714,Arborist Plan Review,"1338 AVALON PL NE, ATLANTA GA 30306",,RACINE -NEW CARRIAGE HOUSE/GARAGE,Revisions Required,
1/30/2019,BE-201901230,Residential - Electrical,"1144 MERRILL AVE SW, ATLANTA GA 30310",INSTALL SERVICES TO RESTORE POWER,RESIDENTIAL/ELECTRICAL/GENERAL,Issued,
1/30/2019,BP-201900695,Residential - Plumbing,"3248 CASCADE PARC BLVD SW, ATLANTA GA 30311",NEW RESIDENTIAL PLUMBING,3246 CASCADE PARC BOULEVARD SW LOT 62,Issued,
1/30/2019,BM-201900564,Residential - HVAC,"1379 AVON AVE SW, ATLANTA GA 30310","Replace 1 HP systeml, 2 bath fans",1379 mAvon Ave SW,Issued,
1/30/2019,BM-201900528,Residential - HVAC,"2050 EMERY PL NE, ATLANTA GA 30317",INSTALL NEW 1 1/2 TON HEAT PUMP FOR 2ND STORY ADDITION. VENT 2 BATH FANS AND DRYER. ADD DUCT WORK TO 1ST FLOOR ADDITION AND INSTALL GAS LINE TO FIREPLACE,2050 Emery Pl NE,Issued,
1/30/2019,BE-201901184,Commercial - Low Voltage,"3575 PIEDMONT RD NE, ATLANTA GA 30305",Fire Alarm Alteration,On Search Partnership/Build 15/Suite 1005,Issued,
1/30/2019,BE-201901217,Residential - Electrical,"117 ROCKY FORD RD NE, ATLANTA GA 30317",TEMP POLE,RESIDENTIAL/ELECTRICAL/TEMP POLE,Closed - Passed,
1/30/2019,ZLA-201900504,Business Licenses,"931 MONROE DR NE, ATLANTA GA 30308",OFFICE USE ONLY. STE 102-607,PEDAL & PLAY LLC/ STE 102-607,License Approved,
1/30/2019,BE-201901211,Residential - Electrical,"3772 CAMPBELLTON RD SW, ATLANTA GA 30331",PUBLIC UTILITY,COMMERCIAL/PUBLIC UTILITY,Issued,
1/30/2019,BM-201900557,Commercial - HVAC,"139 RALPH MCGILL BLVD NE, ATLANTA GA 30308",INSTALL 2 MINI SPLIT 2 TON HEAT PUMP SYSTEMS,COMMERCIAL/HVAC,Issued,
1/30/2019,BE-201901236,Commercial - Low Voltage,"806 MURPHY AVE SW, ATLANTA GA 30310","Intrusion, CCTV, Card Access and Intercom System",Adair Court Bldg 1,Issued,
1/30/2019,BP-201900712,Commercial - Fire Sprinkler,"1175 CHATTAHOOCHEE AVE NW, ATLANTA GA 00000",MODIFICATION TO EXISTING SPRINKLER SYSTEM TO ACCOMMODATE SPACE,BOLD MONK,Routed for Review,
1/30/2019,QCR-2019-00530,Residential QCR,"34 SPRING LN NW, ATLANTA GA 30314","INTERIOR RENOVATION OF RESIDENCE. DEMO OF NON BEARING WALLS, REPAIR AND INSTALL INTERIOR FINISHESPREVIOUS EXPIRED BB#201801167",SFR - CONVERSION,Create Application,
1/30/2019,QCR-2019-00507,Multi-Family QCR,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",Unit 39 - Interior fit-up of previously permitted condominium building shell.,Peachtree Hills Place - Randall - Unit 39,Create Application,
1/30/2019,QCR-2019-00502,Multi-Family QCR,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",Unit 34 - Interior fit-up of previously permitted condominium building shell.,Peachtree Hills Place - Randall - Unit 34,Create Application,
1/30/2019,BA-201900709,Arborist Plan Review,"3093 RIDGEWOOD RD NW, ATLANTA 30327",,NEW SFR,Approved-No Trees Destroyed,
1/30/2019,QCR-2019-00525,Residential QCR,"2496 PERRY BLVD NW, ATLANTA GA 30318",Construction of new SFR,New 3 STORY SFR WITH GARAGE,Create Application,
1/30/2019,QCR-2019-00523,Residential QCR,"2492 PERRY BLVD NW, ATLANTA GA 30318",Construction of new SFR,New 3 STORY SFR WITH GARAGE,Create Application,
1/30/2019,19CAP-00000134,Building Complaint,"1894 DELOWE PL SW, ATLANTA GA 30311",STORM DAMAGE,Buildings-Other Case,Closed,Buildings-Other Case
1/30/2019,19CAP-00000133,Building Complaint,"1021 PEACHTREE ST NE, ATLANTA GA 30309",ILLEGAL SIGN-Too large building sign.,Zoning Case,Assigned to Inspector,Zoning Case
1/30/2019,BP-201900667,Residential - Plumbing,"141 17TH ST NE, ATLANTA GA 30309",REMODEL,141 17th STREET NE,Issued,
1/30/2019,BP-201900696,Commercial - Plumbing,"1180 PEACHTREE ST, ATLANTA GA 30309",Including but not limited to installation of new plumbing and fixtures.,Brookfield,Issued,
1/30/2019,ORR-201900179,Open Record Request,"310 ASHBURTON AVE SE, ATLANTA GA 30317",REQUESTING FULL SET OF APPROVED PLANS FOR PERMIT BB-201700809 ISSUED 04/20/2017.,310 ASHBURTON AVE SE - ORR,Request Completed,
1/30/2019,BB-201900728,Residential Alteration,"721 UNITED AVE SE, ATLANTA GA 30312","INTERIOR ALTERATION TO EXISTING SINGLE FAMILY RESIDENCE. REPLACING DRYWALL, FLOOR REPLACEMENT IN KIND",JOHNSON-ALTERATIONS-XPRS,Issued,
1/30/2019,BM-201900559,Residential - HVAC,"1160 CUSTER AVE SE, ATLANTA GA 30316","AKA 1345 HEIGHTS PARK DR--INSTALLATION OF HEATING AND COOLING SYSTEM, GAS PIPING, VENTILATION,Renewal of BM-201801742",RESIDENTIAL/HVAC STE 14,Issued,
1/30/2019,BA-201900706,Arborist Illegal Activity,"1341 MONTREAT AVE SW, ATLANTA GA 30310",Illegal Removal,Illegal Removal,Assigned,
1/30/2019,BS-201900088,Sign Business,"231 PEACHTREE ST NE, ATLANTA GA 30303",PEACHTREE CENTERNEW WALL,PEACHTREE CENTER,Routed for Review,
1/30/2019,BP-201900681,Residential - Plumbing,"3620 RIDGEWOOD RD NW, ATLANTA GA 30327",KITCHEN & BATHROOM RENOVATION,RESIDENTIAL / PLUMBING,Issued,
1/30/2019,QCR-2019-00503,Multi-Family QCR,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",Unit 35 - Interior fit-up of previously permitted condominium building shell.,Peachtree Hills Place - Randall - Unit 35,Create Application,
1/30/2019,QCR-2019-00499,Multi-Family QCR,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",Unit 31 - Interior fit-up of previously permitted condominium building shell.,Peachtree Hills Place - Randall - Unit 31,Create Application,
1/30/2019,QCR-2019-00492,Multi-Family QCR,"50 LAKELAND DR NE, F8, ATLANTA GA 30305",Unit 31 - Construction of new townhome. Reference LD-201500088,Lakeland Townhomes - Unit 31,Open,
1/30/2019,ORR-201900173,Open Record Request,"1220 BEECHER ST SW, ATLANTA GA 30310",REQUESTING BUILDING PLANS.,1220 BEECHER ST SW - ORR,Request Completed,
1/30/2019,BA-201900679,Arborist Plan Review,"1464 NORTHWEST DR NW, ATLANTA GA 30318",,PARK AT MONROE -  LD,Posted,
1/30/2019,BP-201900677,Residential - Plumbing,"444 MULBERRY ROW SE, ATLANTA GA 30354",install plumbing,444 mulberry row,Issued,
1/30/2019,BM-201900530,Commercial - HVAC,"3353 PEACHTREE RD NE, B, ATLANTA GA 30326",Including but not limited to duct alterations and installation of new terminal units and air distribution.,NERC- Suite 750 (North American Electric Reliability Corp.),Issued,
1/30/2019,BE-201901186,Commercial - Low Voltage,"100 PEACHTREE ST NW, ATLANTA GA 30303",Fire Alarm Alteration,BB 201808324,Issued,
1/30/2019,BE-201901185,Residential - Electrical,"473 HAMILTON ST SE, ATLANTA GA 30316","Outlet, surge protector",Roy Stubbs,Issued,
1/30/2019,BP-201900643,Commercial - Plumbing,"1380 OXFORD RD NE, ATLANTA GA",PLUMBING INSTALL FOR LAB RENOVATION/ AKA 36 EAGLE ROW,COMMERCIAL/PLUMBING/ AKA 36 Eagle Row,Issued,
1/30/2019,BT-201900229,Temporary Power,"535 BISMARK RD NE, ATLANTA GA 30324",SET POWER AT 535 BISMARK RD LOT 77 MANCHESTER,535 BISMARK RD LOT 77 TEMP POWER,Issued,
1/30/2019,BE-201901194,Residential - Electrical,"442 MULBERRY ROW SE, ATLANTA GA 30354",Installation of electrical wiring,Lot3513,Issued,
1/30/2019,BP-201900664,Residential - Plumbing,"962 BLUE RIDGE AVE NE, ATLANTA GA 30306",SECOND FLOOR ADDITION PLUMBING,PLUMBING,Issued,
1/30/2019,BT-201900227,Temporary Power,"1170 EDGEFIELD DR SW, ATLANTA GA 30310",Residential temporary power request,1170 Edgefield Drive SW-30310,Issued,
1/30/2019,BM-201900562,Residential - HVAC,"1160 CUSTER AVE SE, ATLANTA GA 30316","AKA 1329 HEIGHTS PARK DR--INSTALLATION OF HEATING AND COOLING SYSTEM, GAS PIPING, VENTILATIONRenewal of BM-201801746",RESIDENTIAL/HVAC STE 18,Issued,
1/30/2019,BM-201900547,Residential - HVAC,"1659 WESTWOOD AVE SW, ATLANTA GA 30310",Gas línea,1659 westwood ave,Issued,
1/30/2019,BP-201900679,Commercial - Fire Sprinkler,"1375 PEACHTREE ST NE, ATLANTA GA 30309",Modification of and addition to the existing fire sprinkler system,Pershing Point Lobby - 3rd Floor,Routed for Review,
1/30/2019,BP-201900672,Commercial - Plumbing,"1201 PEACHTREE ST NE, ATLANTA GA 00000","BREAKROOM SINK,",DRESCHER & COHEN DDS PHASE 1 BLDG 400 STE 1515,Online Permit Pending,
1/30/2019,BA-201900685,Arborist Dead Dying Hazardous Tree,"40 ABINGTON CT NW, ATLANTA GA 30327",,,Issued,
1/30/2019,BM-201900535,Residential - HVAC,"1441 FAIRVIEW RD NE, ATLANTA GA 30306","2 FUJITSU/AIRSTAGE MINI-SPLIT HEAT PUMPS, WITH 2 OUTDOOR UNITS, 3 DUCTED INDOOR UNITS & 3 WALL MOUNTS.VENT 6 BATH FANS.  1 DRYER AND 1 RANGE.GAS LINES TO 3 LOG LIGHTERS, 1 WATER HEATER AND 1 GAS RANGE.",STRUBY CON.,Issued,
1/30/2019,BE-201901190,Residential - Electrical,"1420 MAY AVE SE, ATLANTA GA 30316",Wire new construction,1420 May Ave. SE Atlanta Dekalb,Issued,
1/30/2019,BP-201900650,Residential - Plumbing,"2015 ROCKLEDGE RD NE, ATLANTA GA 30324",NEW RESIDENTIAL PLUMBING,1700 MORNINGTIDE LANE LOT 44,Issued,
1/30/2019,BP-201900645,Commercial - Plumbing,"3353 PEACHTREE RD NE, B, ATLANTA GA 30326",Including but not limited to installation of new plumbing and fixtures.,NERC- Suite 750 (North American Electric Reliability Corp.),Issued,
1/30/2019,BT-201900225,Temporary Power,"1144 AVONDALE AVE SE, ATLANTA GA 30312",1144 AVONDALE AVE SE AKA 761 CADY WAY; TEMP TO PERM POWER PERMIT,18-SGP-TPR,Issued,
1/30/2019,QCR-2019-00547,Commercial QCR,"1280 WEST PEACHTREE ST NW, ATLANTA GA 30309",New operable partition- door and rail.,Interface 2018 HQ- Rooftop 4th Fl,Create Application,
1/30/2019,BB-201900736,Residential Alteration,"932 REDFORD DR SE, ATLANTA GA 30315",INTERIOR AND EXTERIOR RENOVATIONS,COOKE - ALTERATIONS - XPRS,Issued,
1/30/2019,ZLA-201900508,Business Licenses,"795 MARCUS ST SE, ATLANTA GA 30316","PROACTIVE PROTECTIONS, LLC BUSINESS LISTING ONLY FOR HOME OCCUPATION ONLY NO GROUP ASSEMBLE FROM THIS SITE SECURITY CONSULTING","PROACTIVE PROTECTIONS, LLC",License Approved,
1/30/2019,BE-201901222,Residential - Electrical,"563 BROWNWOOD AVE SE, ATLANTA GA 30316",RESIDENTIAL / ELECTRICAL / GENERAL NEW HOUSE WIRING AND SERVICE THROUGHOUT.BB-201802353,RESIDENTIAL / ELECTRICAL / GENERAL,Issued,
1/30/2019,QCR-2019-00534,Commercial QCR,"2260 MARIETTA BLVD NW, ATLANTA GA 30318",Interior build out for new yoga studio,Yonder Yoga,Create Application,
1/30/2019,BP-201900683,Commercial - Plumbing,"3850 ROSWELL RD NE, ATLANTA GA 30342","COMMERCIAL / PLUMBING / 43A ROUGHIN 2 TOILETS, 2 SINKS, 1 DRINKING FOUNTAIN UNDER SLAB BB-201807039",COMMERCIAL / PLUMBING / 43A,Issued,
1/30/2019,QCR-2019-00511,Commercial QCR,"1571 DONALD LEE HOLLOWELL HWY NW, ATLANTA GA 00000","Site work to include grading and installation of landscape, hardscape and utilities.",Woodson Park Academy and YMCA ELC,Create Application,
1/29/2019,BP-201900626,Residential - Plumbing,"1584 ROGERS AVE SW, ATLANTA GA 30310",Replacing water service line,1584 Rogers Ave,Issued,
1/29/2019,19TMP-003791,Residential - Electrical,"4315 GARMON RD NW, ATLANTA GA 30327",,,,
1/29/2019,BP-201900623,Commercial - Fire Sprinkler,"271 17TH ST NW, ATLANTA GA 30318","THE INTENT OF THIS WORK IS TO MODIFY THE EXISTING SPRINKLER SYSTEM TO MEET CODE REQUIREMENTS.  WE WILL BE ADDING AND RELOCATING SPRINKLERS FROM THEIR ORIGINAL LOCATIONS AS WELL AS PLUGGING CERTAIN OUTLETS, REMOVING CERTAIN PIPE AND ADDING LINES TO PROVIDE PROPER COVERAGE.  ALL WORK IS TO BE DONE IN ACCORDANCE WITH NFPA 13 AND STATE FIRE CODE REQUIREMENTS. SCOPE INCLUDES 119 SPRINKLERS.",Square Atlanta 22nd Floor,Routed for Review,
1/29/2019,BA-201900676,Arborist Dead Dying Hazardous Tree,"1346 AVALON PL NE, ATLANTA GA 30306",,,Issued,
1/29/2019,BE-201901164,Commercial - Low Voltage,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",( 2 )   G4HFWF-S2VMC Genesis High Fidelity Wall Speaker-Strobe White( 2 )   MG1F-VM Genesis Mc Strobe Only Wall White w/Fire Marking,QQ#256723 55 Allen Plaza for Merit Construction Company,Issued,
1/29/2019,19TMP-003783,Temporary Power,"4315 GARMON RD NW, ATLANTA GA 30327",Installed t-pole for construction,T-Pole power,,
1/29/2019,BE-201901176,Commercial - Electrical,"3355 LENOX RD NE, ATLANTA GA 30326",Commercial Electrical Tennant Remodel,"Medical Asset Management, Ste 1150, Lenox Center",Issued,
1/29/2019,BE-201901175,Residential - Low Voltage,"744 DALVIGNEY ST NW, ATLANTA GA 30318",PHONES CABLES SECURITY,Pulte Home Corporation Police Housing,Issued,
1/29/2019,BM-201900521,Residential - HVAC,"66 HUNTINGTON RD NE, ATLANTA GA 30309",DIRECT REPLACEMENT OF 2 CONDENSERS AND 1 FURNACE,STOKES,Issued,
1/29/2019,BA-201900673,Arborist Dead Dying Hazardous Tree,"1180 PACES FOREST DR NW, ATLANTA GA 30327",,,Issued,
1/29/2019,BE-201901455,Commercial - Electrical,"1471 LA FRANCE ST NE, ATLANTA GA 30307",Construction of new 2 story building. A Space to Soar Arts,A Space to Soar 1471 LaFrance St,Issued,
1/29/2019,BM-201900525,Residential - HVAC,"1445 MONROE DR NE, ATLANTA GA 30324",Replace HVAC System,Charlie Goggin,Issued,
1/29/2019,BW-201900049,Water Heater,"26 PLANTATION DR NE, ATLANTA GA 30324",wh replacement,26 PLANTATION DRIVE,Issued,
1/29/2019,BT-201900220,Temporary Power,"116 PARK AVE SE, ATLANTA GA 30315",Temp power for house final,116 Park Ave. SE,Issued,
1/29/2019,BM-201900524,Residential - HVAC,"1830 MARIETTA RD NW, ATLANTA GA 30318","BASEMENT FINISHWALK NOTES PER CORY 1/24/191830 MARIETTA ROAD NW ATLANTA, GA  30318System Placement- 2 ton electric in basementDampers- NoBypass- NoLineset-2-30'x3/4""B-vent- NoWaterheater- NoFloor boots- No14"" Flex- NoVenthood- noBath fans- 1-3""*Siding*Air Handler Marked*Cut Joists for Lineset","1830 MARIETTA ROAD NW ATLANTA, GA  30318",Issued,
1/29/2019,BP-201900632,Commercial - Fire Sprinkler,"10 10TH ST NE, ATLANTA GA 30309",Relocating & adding sprinkler heads off the existing system for new tenant build out.,GOOGLE ATLANTA 5TH FL/SUITE 550 PHASE 1,Routed for Review,
1/29/2019,BM-201900537,Residential - HVAC,"557 WINTON TER NE, ATLANTA GA 00000",NEW CONSTRUCTION HVAC INSTALL,557 Winton Terrace,Issued,
1/29/2019,BE-201901207,Residential - Low Voltage,"675 PONCE DE LEON AVE NE, ATLANTA GA 30308",speakers for sound system,Pancake Social Suite E-185,Issued,
1/29/2019,BM-201900523,Residential - HVAC,"396 LAKESHORE DR NE, ATLANTA GA 30307",Replace HVAC system,396 Lakeshore Dr,Issued,
1/29/2019,BE-201901177,Commercial - Electrical,"111 WEST PACES FERRY RD NW, ATLANTA GA 30305","Event: Super Bowl LIIISet-up & Testing Date: 01/31/19Event Date: 02/01/19Location: Yebo Beach Haus, 111 West Paces Ferry Road NWProviding: (1) 36kw generator (GROUNDED) and panel (GFI PROTECTED OUTLETS) for vendor and stage power.",Marquee Tents & Rents - Super Bowl LIII,Issued,
1/29/2019,BP-201900634,Residential - Plumbing,"1245 HILL ST SE, ATLANTA GA 30315",Replacing a 50 ft. sewer line.,Rutledge,Issued,
1/29/2019,BA-201900675,Arborist Dead Dying Hazardous Tree,"2367 PAUL AVE NW, ATLANTA GA 30318",,,Issued,
1/29/2019,BP-201900635,Residential - Plumbing,"2410 GLENWOOD DR NE, ATLANTA GA 30305",install all new fixtures,Dennis Gaddy,Issued,
1/29/2019,BP-201900642,Residential - Plumbing,"644 ALBERT ST NW, ATLANTA GA 30318",Plumbing Remodel,644 Albert Street,Issued,
1/29/2019,BM-201900526,Residential - HVAC,"995 BYRON DR SW, ATLANTA GA 30310",3 TON HVAC HEAT PUMP SYSTEM - VENTS,995 BYRON,Issued,
1/29/2019,19TMP-003710,Residential - Plumbing,"912 MERCURY DR NW, ATLANTA GA 30331",,,,
1/29/2019,BE-201901171,Commercial - Electrical,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308","Power monitoring, building automation, temperature control wiring, cable tray & supports, AV equipment and control, Installing spare parts: lamps, fixtures, fuses or gear",Martin Walker - STE 820,Issued,
1/29/2019,BM-201900518,Residential - HVAC,"20 28TH ST NW, ATLANTA GA 30309",INSTALL HVAC,12 28th street brookwood,Issued,
1/29/2019,BE-201901168,Commercial - Electrical,"303 PEACHTREE ST NE, ATLANTA GA 00000",Electrical Installation,Anthem-STE#600,Issued,
1/29/2019,BP-201900636,Residential - Plumbing,"909 SOCIETY CIR SW, ATLANTA GA 30331",NEW SINGLE FAMILY PLUMBING,LOT 355 CASCADE TH'S,Issued,
1/29/2019,BM-201900519,Residential - HVAC,"1724 BARNESDALE WAY NE, ATLANTA GA 30309","Duct modifications, hood vent , mu air",1724 Barnesdale Way NE,Issued,
1/29/2019,BE-201901166,Residential - Electrical,"217 BUENA VISTA AVE SW, ATLANTA GA 30315","New Electrical install for home remodel , the installation 10 remodel can lights, smoke detector and replace GFI's. Dryer outlet",217 Buena Vista Ave SW,Issued,
1/29/2019,BM-201900522,Residential - HVAC,"1065 WYLIE ST SE, ATLANTA GA 30316",Replace heat pump and air handler,1065 Wylie St,Issued,
1/29/2019,BT-201900219,Temporary Power,"4580 CLUB TER NE, ATLANTA GA 30319",TEMP TO PERM POWER ONLY,4580 Club Ter Temp power,Issued,
1/29/2019,BP-201900633,Commercial - Fire Sprinkler,"10 10TH ST NE, ATLANTA GA 30309",Relocating & adding sprinkler heads off the existing system for new tenant build out.,GOOGLE ATLANTA 4TH FL/SUITE 460 PHASE 2,Routed for Review,
1/29/2019,BA-201900674,Arborist Dead Dying Hazardous Tree,"183 LAKE FORREST LN NE, ATLANTA GA 30342",,,Issued,
1/29/2019,BP-201900629,Residential - Plumbing,"913 SOCIETY CIR SW, ATLANTA GA 30331",NEW SINGLE FAMILY PLUMBING,LOT 353 CASCADE TH'S,Issued,
1/29/2019,BP-201900628,Commercial - Plumbing,"756 WEST PEACHTREE ST NW, ATLANTA GA 30308","Install new plumbing fixtures, water heaters, and make piping alterations.",756 West Peachtree WeWork CODA 4th Floor Plumbing,Issued,
1/29/2019,BP-201900624,Commercial - Fire Sprinkler,"1175 PEACHTREE ST NE, ATLANTA GA 30309",NEW TENANT FIRE SPRINKLER RENOVATION,CHICK FIL A STORE #440 SUITE# 110,Routed for Review,
1/29/2019,BE-201901174,Residential - Electrical,"974 OGLETHORPE AVE SW, REAR, ATLANTA GA 30310",Electrical rewire of home.,Oglethorpe Ave Alterations,Issued,
1/29/2019,BE-201901169,Commercial - Low Voltage,"303 PEACHTREE ST NE, ATLANTA GA 00000","Low Voltage Systems-Voice, Data, AV, PA, Security, Access Control",Anthem-STE#600,Issued,
1/29/2019,BP-201900640,Commercial - Fire Sprinkler,"3399 PEACHTREE RD NE, ATLANTA GA 30326",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,AGL (SUITE 1100),Routed for Review,
1/29/2019,BE-201901179,Residential - Electrical,"4315 GARMON RD NW, ATLANTA GA 30327",New Home electrical,4315 Garmon,Issued,
1/29/2019,BP-201900638,Commercial - Fire Sprinkler,"2155 MONROE PL NE, ATLANTA GA 30324",RELOCATE 2 HEADS. FOUND TOO FAR OFF WALL.,WXIA,ACA Pending,
1/29/2019,BE-201901172,Commercial - Low Voltage,"1800 HOWELL MILL RD NW, ATLANTA GA 30318",( 2 )   12 Volt 7 Amp  12 Volt 7 Amp Battery [BP12V7A]( 1 )   FCPS-24S8  Notifier 8 Amp Power Supply W/sync( 10 )   E5024MCWFW  Wheelock Speaker Strobe MULTI-CANDELA Wall Mount White [15/30/75/110( 8 )   STW  Wheelock Wall White Strobe Only Exceder( 1 )   FRM-1  Relay Module,"QQ#253771 CMK Piedmont LLC for C & W Contracting Services, Inc./ACRM ste 675",Issued,
1/29/2019,BP-201900637,Residential - Plumbing,"1281 EUCLID AVE NE, ATLANTA GA 30307",RePlumbing home and adding a bathroom,Stanford - alterations -xprs,Issued,
1/29/2019,BP-201900631,Residential - Plumbing,"911 SOCIETY CIR SW, ATLANTA GA 30331",NEW SINGLE FAMILY PLUMBING,LOT 354 CASCADE TH'S,Issued,
1/29/2019,BP-201900625,Commercial - Fire Sprinkler,"574 BOULEVARD PL NE, ATLANTA GA 30308",New residential 13R sprinkler system,Boulevard Townhomes UNIT 6,ACA Pending,
1/29/2019,BM-201900527,Residential - HVAC,"932 FORTRESS AVE SW, ATLANTA GA 30315",Replace Hvac System,Mayra Northen,Issued,
1/29/2019,BA-201900677,Arborist Dead Dying Hazardous Tree,"606 TIMM VALLEY RD NE, A, ATLANTA GA 30305",,,Issued,
1/29/2019,BE-201901178,Commercial - Electrical,"1680 WESTVIEW DR SW, ATLANTA GA 30310","((FILM INDUSTRY)) - ""LODGE 49"" S2 - 4 LOCATIONS(#1) DATE: 02/08/19SET: WESTVIEW CEMETER, 1680 WESTVIEW DRIVE SW (1 - 1400AMP GEN)BASECAMP: 2001 MARTIN LUTHER KING JR DRIVE SW (1 - 1400AMP GEN)(#2) DATE: 03/01/19SET: TBD (1 - 1400AMP GEN)BASECAMP: TBD (1 - 1400AMP GEN)(#3) DATE:SET: TBD (1 - 1400AMP GEN)BASECAMP: TBD (1 - 1400AM GEN)(#4) DATE:SET: TBD (1 - 1400AMP GEN)BASECAMP: TBD (1 - 1400AMP GEN)",Lodge 49 S2,Issued,
1/29/2019,BM-201900520,Residential - HVAC,"2236 HARRY BROOKS DR NW, ATLANTA GA 30318",HVAC Change out of a 2 ton 14 seer,"2236 Harry Brooks Drive, Atlanta",Issued,
1/29/2019,BE-201901181,Commercial - Low Voltage,"1201 PEACHTREE ST NE, ATLANTA GA 00000",C3 - Office Building - Fire alarm redesign based on tenant space alteration,"Drescher & Cohen - Phase 2 Bldg 400, Ste 1515",Issued,
1/29/2019,BP-201900639,Commercial - Fire Sprinkler,"661 AUBURN AVE NE, ATLANTA GA 30312",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,POUR TAP ROOM ( SUITE 230 ),Routed for Review,
1/29/2019,BE-201901180,Residential - Electrical,"4315 GARMON RD NW, ATLANTA GA 30327",install t-pole,t-pole,Issued,
1/29/2019,BE-201901165,Commercial - Low Voltage,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",( 2 )   12 Volt 7 Amp  12 Volt 7 Amp Battery [BP12V7A]( 1 )   EBPS10A Edwards Remote Booster Power Supply 10 Amp Red [( 3 )   MG1F-VM Genesis Mc Strobe Only Wall White w/Fire Marking( 2 )   G4HFWF-S2VMC Genesis High Fidelity Wall Speaker-Strobe White,QQ#256725 55 Allen Plaza for Merit Construction Company,Issued,
1/29/2019,BE-201901163,Commercial - Low Voltage,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",( 3 )   G4HFWF-S2VMC Genesis High Fidelity Wall Speaker-Strobe White( 2 )   MG1F-VM Genesis Mc Strobe Only Wall White w/Fire Marking,QQ#256729 55 Allen Plaza for Merit Construction Company,Issued,
1/29/2019,BP-201900847,Residential - Plumbing,"131 SISSON AVE NE, ATLANTA GA 30317","New residential construction, plumbing permit.",131 Sisson,Issued,
1/29/2019,BE-201901170,Residential - Electrical,"115 LAUREL DR NE, ATLANTA GA 30342",Installation of 32kW home standby generator,H. Smith,Issued,
1/29/2019,BE-201901167,Residential - Electrical,"934 WINALL DOWN RD NE, ATLANTA GA 30319",Electric House Permit to include a  300 service amp,934 Winall Down House Permit,Issued,
1/29/2019,19TMP-003805,Residential - Electrical,"2115 RACHAEL ST SE, ATLANTA GA 30315",,,,
1/29/2019,BT-201900222,Temporary Power,"1144 AVONDALE AVE SE, ATLANTA GA 30312",1144 AVONDALE AVE SE AKA 775 CADY WAY; TEMP TO PERM POWER PERMIT,24-SGP-TPR,Issued,
1/29/2019,BT-201900221,Temporary Power,"1144 AVONDALE AVE SE, ATLANTA GA 30312",1144 AVONDALE AVE SE AKA 773 CADY WAY;  TEMP TO PERM POWER PERMIT,23-SGP-TPR,Issued,
1/29/2019,19TMP-003792,Temporary Power,"4315 GARMON RD NW, ATLANTA GA 30327",install t-pole,T-pole,,
1/29/2019,BE-201901173,Commercial - Low Voltage,"1201 PEACHTREE ST NE, ATLANTA GA 00000","pulling cat6 cable and replace cat6 cable, connecting 9th floor 100 pair phone system to 8th floor MDF",Entercomm 9th flor,Issued,
