Date,Record Number,Record Type,Address,City,ZIP,State,Country,Description,Permit Name,Status
2/8/2019,BT-201900299,Temporary Power,636 VERNON AVE SE,Atlanta,30316,GA,United States,TEMPORARY POWER PERMIT,673 JUNEBERRY LANE  VERNON TPO,Issued
2/8/2019,BB-201900986,Commercial Alteration,708 SPRING ST NW,Atlanta,30308,GA,United States,"CRAZY DOUGH PIZZA OF MIDTOWN, SUITE D- TENANT UP FIT NEW INTERIOR WALLS, NEW PLUMBING , ELECTRICAL AND HVAC . HOOD SYSTEM.","CRAZY DOUGH PIZZA OF MIDTOWN, SUITE D (LC) (CO)",Routed for Review
2/8/2019,ZLA-201900691,Business Licenses,1500 SOUTHLAND CIR NW,Atlanta,30318,GA,United States,"GROUND RULE, LLC / STUDIOWED - STE #CSHARED OFFICE SPACE ONLY","GROUND RULE, LLC / STUDIOWED - STE #C",License Approved
2/8/2019,QCR-2019-00724,Residential QCR,1629 BEECHER ST SW,Atlanta,30310,GA,United States,INTERIOR FRAMING RENOVATION AND NEW DECK.,SFR - CONVERSION (PRE-K TO SFR),Create Application
2/8/2019,BE-201901664,Residential - Electrical,3248 CASCADE PARC BLVD SW,Atlanta,30311,GA,United States,ELECTRICAL INSTALL TO INCLUDE 150 SERVICE AMP,CP LOT 61 ELEC PERM,Issued
2/8/2019,BE-201901657,Residential - Electrical,655 LAMBERT DR NE,Atlanta,30324,GA,United States,WIRE NEW HOME AT 655 LAMBERT LOT 89 MANCHESTER,LOT 89 MANCHESTER GENERAL,Issued
2/8/2019,ZLA-201900685,Business Licenses,349 DECATUR ST SE,Atlanta,30312,GA,United States,"SUNRAY STUDIO, LLC - #1305VISUAL DESIGN / WEB DEVELOPMENT","SUNRAY STUDIO, LLC - #1305",License Approved
2/8/2019,BB-201900983,Residential Repair,1648 DUNCAN DR NW,Atlanta,30318,GA,United States,REROOF SFR,JAMES - REROOF - XPRS,Issued
2/8/2019,ZLA-201900687,Business Licenses,3438 PEACHTREE RD NE,Atlanta,30326,GA,United States,HANCOCK SREIT ATL PHIPPS LLC - STE #230COMMERCIAL REAL ESTATE,HANCOCK SREIT ATL PHIPPS LLC - STE #230,License Approved
2/8/2019,BA-201900950,Arborist Complaint,2963 CASCADE RD SW,Atlanta,30311,GA,United States,"Revised plans show the installation of 3 rain gardens at the site, applicant stated these are already completed. Possible tree impact.",site investigation,Investigation
2/8/2019,BE-201901653,Residential - Electrical,560 MIDDLE ST SW,Atlanta,30310,GA,United States,Complete RewireNew Electrical Service/Meter,BB-201900959,Issued
2/8/2019,BM-201900750,Commercial - HVAC,3355 LENOX RD NE,Atlanta,30326,GA,United States,duct modification,medical asset mgt ste 1150,Issued
2/8/2019,BE-201901648,Commercial - Electrical,210 AUBURN AVE NE,Atlanta,30303,GA,United States,Job Trailer 200 Service,Job Trailer,Closed - Passed
2/8/2019,BE-201901626,Commercial - Low Voltage,1360 PEACHTREE ST NE,Atlanta,,GA,United States,Fire Alarm tenant buildout,TalentQuest Suite 200 @ One Midtown Plaza,Online Permit Pending
2/8/2019,BE-201901650,Residential - Electrical,1320 WILLOW TRL SW,Atlanta,30311,GA,United States,Reconnect,1320 Willow,Online Permit Pending
2/8/2019,ZLA-201900682,Business Licenses,754 LAKE AVE NE,Atlanta,30307,GA,United States,PJM ADVISORY SERVICES LLCCOMMERCIAL REAL ESTATE (BUSINESS LISTING ONLY FOR HOME OCCUPATION USE - NO GROUP ASSEMBLY),PJM ADVISORY SERVICES LLC,License Approved
2/8/2019,ZLA-201900680,Business Licenses,2205 RIVER GREEN DR,Atlanta,,GA,United States,WORTHY REALTY GROUP LLC REAL ESTATE BROKER OFFICE USE,WORTHY REALTY GROUP LLC,License Approved
2/8/2019,BE-201901701,Residential - Electrical,122 BRIGHTON RD NE,Atlanta,30309,GA,United States,remodel master bath areas add new lighting and exhaust fans,Harris-2- Carsten,Online Permit Pending
2/8/2019,ZLA-201900702,Business Licenses,3520 CASCADE RD SW,Atlanta,30331,GA,United States,RETAIL CIGAR & ACCESSORIES,"TIFTON TRAILS, LLC",License Approved
2/8/2019,ORR-201900245,Open Record Request,1175 CASCADE PKWY SW,Atlanta,30331,GA,United States,complaints and co,1175 Cascade Pkwy. ORR,Request Completed
2/8/2019,19TMP-005111,Residential - HVAC,4086 POWERS FERRY RD NW,Atlanta,30342,GA,United States,,Derazi-Moffett,
2/8/2019,BM-201900758,Commercial - HVAC,3750 PEACHTREE RD NE,Atlanta,30319,GA,United States,Replace 3 units for suites ---30k,"3750 Peachtree Rd Ne, Suite 915",Issued
2/8/2019,19CAP-00000186,Building Complaint,139 ORMOND ST SE,Atlanta,30315,GA,United States,Illegal Fence in half-depth front yard,Stop Work Case,Complied
2/8/2019,BE-201901702,Commercial - Electrical,72 MARIETTA ST NW,Atlanta,,GA,United States,"Install a 20 amp receptacle on the 3rd, 4th, 5th floor for owner furnished and installed TV's.  Per the owners' request each receptacle shall use the closest 120V circuit.  Provide and install one power pole on the 6th Floor for an owner furnished cubicle.",72 Marietta - DWM - Receptacles on Various Floors,Online Permit Pending
2/8/2019,19CAP-00000184,Building Complaint,3338 PEACHTREE RD NE,Atlanta,30326,GA,United States,FIRE RULING UNIT 1806,FIRE RULING,Assigned to Inspector
2/8/2019,19CAP-00000178,Building Complaint,2212 STAR MIST DR SW,Atlanta,30311,GA,United States,WORKING WITHOUT A PERMIT--,Stop Work Case,Assigned to Inspector
2/8/2019,BB-201900977,Residential Misc. Non-Structural,281 LAMON AVE SE,Atlanta,30316,GA,United States,6 FOOT WOOD PRIVACY FENCE IN REAR YARD.,HOURIGAN - FENCE - XPRS,Issued
2/8/2019,BA-201900963,Arborist Plan Review,430 ETHEL ST NW,Atlanta,30318,GA,United States,,DEMO,Accepted
2/8/2019,BA-201900961,Arborist Plan Review,3478 VALLEY RD NW,Atlanta,30305,GA,United States,,PATIO ADDITION AROUND EXISTING POOL,Accepted
2/8/2019,BA-201900958,Arborist Dead Dying Hazardous Tree,664 KIRKWOOD AVE SE,Atlanta,30316,GA,United States,DDH,DDH,Issued
2/8/2019,BA-201900957,Arborist Plan Review,282 MILTON AVE SE,Atlanta,30315,GA,United States,,Addition / Renovations wall,Accepted
2/8/2019,BT-201900313,Temporary Power,985 MEMORIAL DR SE,Atlanta,30316,GA,United States,ELECTRICAL TEMPORARY POWER PERMIT,985 MEMORIAL DR SE AKA HERITAGE ON MEMORIAL BLDG 1 UNIT 5,Issued
2/8/2019,BT-201900303,Temporary Power,985 MEMORIAL DR SE,Atlanta,30316,GA,United States,985 MEMORIAL DR SE AKA HERITAGE ON MEMORIAL BLDG 1 UNIT 1 ELECTRICAL TEMPORARY POWER PERMIT,985 MEMORIAL BLDG 1 UNIT 1,Issued
2/8/2019,BM-201900739,Residential - HVAC,841 REGAL LN SW,Atlanta,30331,GA,United States,"INSTALL 4TON, AIR HANDLER/ZONES FLEX BOOTS WYES, COOPER DRIAN LINES BATH FAX FLEX ETC",RESIDENTIAL/HVAC,Issued
2/8/2019,BB-201900981,Multi Family New,3478 LAKESIDE DR NE,Atlanta,30326,GA,United States,TOWER PHASING PERMIT FLOORS 16 THRU 22 (88 UNITS)REF PERMIT #BB-201709051,Amli Oak Valley PHASE 3 (CO) (MP),Open
2/8/2019,BE-201901667,Commercial - Low Voltage,1800 HOWELL MILL RD NW,Atlanta,30318,GA,United States,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE - SUITE #675DATA CABLING,COMMERCIAL / LOW VOLTAGE - ATLANTA CTR FOR REPRODUCTIVE MEDICINE STE #675,Issued
2/8/2019,BE-201901663,Residential - Electrical,3250 CASCADE PARC BLVD SW,Atlanta,30311,GA,United States,TEMPORARY POWER POLE,CP LOT 60 TPOLE,Issued
2/8/2019,BA-201900944,Arborist Dead Dying Hazardous Tree,935 GLENBROOK DR NW,Atlanta,30318,GA,United States,DDH Inspection,DDH Inspection,Issued
2/8/2019,19CAP-00000176,Building Complaint,1167 INDALE PL SW,Atlanta,30310,GA,United States,DAMAGES FROM FIRE FOR REPAIRS,Buildings-Other Case,Potential Duplicate
2/8/2019,ZLA-201900701,Business Licenses,715 PEEPLES ST SW,Atlanta,30310,GA,United States,QODESH WITH STYLE / APT 12BUSINESS LISTING ONLY FOR HOME OCCUPATION USE ONLINE BUSINESS FOR RETAIL CLOTHING AND ACCESSORIES,QODESH WITH STYLE / APT 12,License Approved
2/8/2019,BT-201900321,Temporary Power,835 REGAL LN SW,Atlanta,30331,GA,United States,TEMPORARY POWER,CASCADES LOT 505 TPR,Issued
2/8/2019,BE-201901679,Commercial - Electrical,1870 CAMPBELLTON RD SW,Atlanta,30311,GA,United States,"BLDG JREPLACE EXISTING 600A MAIN AND SOCKETS, DUE TO DAMAGE",COMMERCIAL/ELECTRICAL/GENERAL/ BLD J,Issued
2/8/2019,QCR-2019-00729,Commercial QCR,1230 PEACHTREE ST NE,Atlanta,30303,GA,United States,Ste 2700 - New Finishes in existing restroom,TVS - Ste 2700,Create Application
2/8/2019,BM-201900756,Commercial - HVAC,3000 CONTINENTAL COLONY PKWY SW,Atlanta,30331,GA,United States,"INSTALL DUCT WORK, INSTALL 4 TON UNIT, BATH FANS",COMMERCIAL/HVAC/THE PARK AT GREENBRIAR / F133,Accepted
2/8/2019,BB-201900989,Commercial Misc. Non-Structural,349 14TH ST NW,Atlanta,30318,GA,United States,"AT&T GA3043: Remove (3) antennas and (3) TMA's install (3) antennas, 6 RRUS, 1 DC6 and 3 cables on existing unmanned cell tower.",AT&T GA3043,Routed for Review
2/8/2019,ZLA-201900699,Business Licenses,245 NORTH HIGHLAND AVE NE,Atlanta,30307,GA,United States,BENNETT CONSTRUCTION & REALTY / UNIT 230-182HOME OFFICE USE ONLY,BENNETT CONSTRUCTION & REALTY / UNIT 230-182,License Approved
2/8/2019,BE-201901672,Commercial - Electrical,4300 NORTHSIDE DR NW,Atlanta,30327,GA,United States,GEORGIA BRIDGE AND CONCRETE - POWER FOR TEMP. TRAFFIC SIGNALSTEMPORARY POWER FOR THE TEMPORARY TRAFFIC SIGNALS.  EXISTING UNITS ARE RUNNING OFF GENERATORS.  INSTALLING POWER TO REDUCE THE NOISE. POLE AT EAST SIDE OF EAST CONWAY ON NORTHSIDE DRIVE.,COMMERCIAL / ELECTRICAL - POWER FOR TEMP. TRAFFIC SIGNALS,Issued
2/8/2019,BE-201901669,Commercial - Electrical,771 SPRING ST NW,Atlanta,30308,GA,United States,"CITY OF ATLANTA SIDEWALK LIGHTING (AKA 4242 ARMSTEAD PL)SERVICE PANEL LOCATED ON ARMSTEAD PL, SOUTH/WEST END - 30FT OFF SPRING STREET PANEL IS FOR CITY OF ATLANTA SIDEWALK LIGHTING ONLY.",COMMERCIAL / ELECTRICAL - ROW SIDEWALK LIGHTING (AKA 4242 ARMSTEAD PL),Issued
2/8/2019,BE-201901668,Residential - Electrical,3246 CASCADE PARC BLVD SW,Atlanta,30311,GA,United States,TEMPORARY POWER POLE,CT LOT 62 TPOLE,Issued
2/8/2019,BE-201901623,Commercial - Low Voltage,1230 PEACHTREE ST NE,Atlanta,30303,GA,United States,Revisions to existing fire alarm system required for tenant remodel.,Prom II TenCate / Suite 1125,Issued
2/8/2019,BE-201901698,Residential - Electrical,90 WAKEFIELD DR NE,Atlanta,30309,GA,United States,2nd story addition to include new baths and closets also adding an elevator,Player/Carsten,Issued
2/8/2019,BT-201900316,Temporary Power,985 MEMORIAL DR SE,Atlanta,30316,GA,United States,ELECTRICAL TEMPORARY POWER PERMIT,985 MEMORIAL DR SE AKA HERITAGE ON MEMORIAL BLDG 1 UNIT 8,Issued
2/8/2019,BE-201901674,Residential - Low Voltage,2015 ROCKLEDGE RD NE,Atlanta,30324,GA,United States,"Security PW, Plasma Tube, MJ x 4, TV x 1 Speaker PW x 4, Subwoofer PW, Intercome PW",Lot 76 Morningside Towns,Issued
2/8/2019,BE-201901643,Residential - Electrical,1143 WESTMONT RD SW,Atlanta,30311,GA,United States,REWIRE HOUSE ELECTRICAL,RESIDENTIAL / ELECTRICAL - GENERAL,Issued
2/8/2019,BE-201901634,Commercial - Low Voltage,980 HOWELL MILL RD NW,Atlanta,30318,GA,United States,TOLL BROTHERS - PHASE 5 SOUTH LINER BUILDINGINSTALLATION OF LOW VOLTAGE WIRE & EQUIPMENT (CAT 6 & COAX),COMMERCIAL / LOW VOLTAGE - PHASE 5 SOUTH LINER BLDG,Issued
2/8/2019,LD-201900015,Commercial Land Development,225 ROGERS ST NE,Atlanta,30317,GA,United States,"PULLMAN YARDS - LDP 2 (CA3-18-525) - PHASE 2 OF THE REDEVELOPMENT OF A PORTION OF A HISTORIC RAILWAY YARD. THE PROPOSED SITE WILL INCLUDE TWO NEW BUILDINGS, PARKING, LOADING, AND INTERNAL DRIVES. THE SCOPE INCLUDES DRAINING, UTILITIES, EROSION CONTROL, AND STORMWATER MANAGEMENT.",PULLMAN YARDS - LDP 2 (CA3-18-525),Open
2/8/2019,19CAP-00000181,Building Complaint,820 THURMOND ST NW,Atlanta,30314,GA,United States,STOP WORK ORDER- COMPLETE RENOVATION WITHOUT A PERMIT,Stop Work Case,Potential Duplicate
2/8/2019,BB-201900988,Commercial Alteration,3340 PEACHTREE RD,Atlanta,30326,GA,United States,Ste 1950 - Minor interior alteration  of existing vacant 2nd generation space to include minor HVAC and Electrical,Spec Suite 1950 (LC),Routed for Review
2/8/2019,BE-201901656,Residential - Electrical,2530 HOSEA L WILLIAMS DR NE,Atlanta,30317,GA,United States,SERVICE UPGRADE,RESIDENTIAL / ELECTRICAL - GENERAL,Issued
2/8/2019,BE-201901625,Commercial - Electrical,510 CAMERON M ALEXANDER BLVD NW,Atlanta,,GA,United States,"T-POLE FOR HERNDON HOMES REVITALIZATION PROJECT, PHASE 1 (SENIOR BUILDING)",HERNDON HOMES T-POLE,Online Permit Pending
2/8/2019,ZLA-201900686,Business Licenses,1889 MCLENDON AVE NE,Atlanta,30307,GA,United States,INTOWN REVIVIAL CONSTRUCTION(CHANGE OF ADDRESS)RESIDENTIAL CONTRACTOR (BUSINESS LISTING ONLY),INTOWN REVIVAL CONSTRUCTION,License Approved
2/8/2019,QCR-2019-00716,Commercial QCR,777 TECHWOOD DR NW,Atlanta,30313,GA,United States,"Techwood Dr Demo of a one story brick building, 1938 sq ft.Proposed addition to Theta Xi Chapter House",Techwood Dr Demo,Create Application
2/8/2019,QCR-2019-00715,Commercial QCR,2345 PEACHTREE RD NE,Atlanta,,GA,United States,Interior alteration of an existing mercantile space,Pet People,Create Application
2/8/2019,BM-201900752,Residential - HVAC,560 MIDDLE ST SW,Atlanta,30310,GA,United States,"INSTALL 2.5 TON HEAT PUMP, AIR HANDLER AND REPLACE FLEX R8 TO MEET CODE",RESIDENTIAL/HVAC (PLACARD RELEASE ON FILE),Issued
2/8/2019,BA-201900975,Arborist Plan Review,313 SISSON AVE NE,Atlanta,30317,GA,United States,,New SINGLE FAMILY RESIDENCE-CO,Posted
2/8/2019,BA-201900974,Arborist Dead Dying Hazardous Tree,1663 HOMESTEAD AVE NE,Atlanta,30306,GA,United States,DDH,DDH,Accepted
2/8/2019,ORR-201900244,Open Record Request,100 OUTSIDE ATLANTA DR SW,Atlanta,30303,GA,United States,"open violations, co",1261 La Vista Rd. ORR,Request Completed
2/8/2019,19-0060,Impact Fees - Fees,884 SAMPLES LN NW,Atlanta,30318,GA,United States,"CONSTRUCTION OF NEW SINGLE FAMILY RESIDENCE W/ A WALK UP ATTIC, GARAGE AND FIREPLACELD-2013-00039",BROCKBUILT - NEW SINGLE FAMILY RESIDENCE - WEST HIGHLANDS - LOT 500- CO,FORMAL EST
2/8/2019,BE-201901666,Residential - Electrical,3248 CASCADE PARC BLVD SW,Atlanta,30311,GA,United States,TEMPORARY POWER POLE,CP LOT 61 TPOLE,Issued
2/8/2019,ZLA-201900705,Business Licenses,29 LENOX POINTE NE,Atlanta,30324,GA,United States,Education ConsultingChange of Address,JMDIB Scienitific Solutions,Open
2/8/2019,QCR-2019-00726,Residential QCR,1401 NORTHVIEW AVE NE,Atlanta,30306,GA,United States,"COMPLETING CONSTRUCTION ON HOUSE PREVIOUSLY PERMITTED (EXPIRED #BB201604566). THE FINISH CONSTRUCTION SCOPE INCLUDES PAINT, GARAGE DOORS, CABINETRY, COUNTERTOPS, APPLIANCES, AND MECHANICAL TRIM OUT.",NEW SFR (PREVIOUS EXPIRED BB#201604566),Plan Inspection
2/8/2019,BB-201900987,Commercial Misc. Non-Structural,2365 BENJAMIN E MAYS DR SW,Atlanta,30311,GA,United States,"AT&T GA3200: Remove 3 antennas and install 3 antennas, 6 RRUs, 3 cables and 1 DC6 on existing unmanned cell tower.",AT&T GA3200,Routed for Review
2/8/2019,ORR-201900243,Open Record Request,3490 PIEDMONT RD NE,Atlanta,,GA,United States,"site plans, co",3490 Piedmont Rd. ORR,Request Completed
2/8/2019,BB-201900984,Commercial Alteration,600 PEACHTREE ST NE,Atlanta,,GA,United States,"Convoy - Ste 700 - Ste 700 - Interior Alterations to include partitions, renovation to elevator lobby and restrooms, MEPs included.",Convoy - Ste 700,Routed for Review
2/8/2019,BS-201900106,Sign Business,415 FAIRBURN RD SW,Atlanta,30331,GA,United States,ELITE AT CITY PARK RESIDENCESNEW MONUMENT,ELITE AT CITY PARK RESIDENCES,Routed for Review
2/8/2019,ORR-201900241,Open Record Request,1475 WEST PACES FERRY RD NW,Atlanta,30327,GA,United States,Review of building plans and tree removal application,1475 West Paces Ferry Rd. ORR,Request Completed
2/8/2019,BE-201901622,Commercial - Electrical,660 PEACHTREE ST NE,Atlanta,,GA,United States,Connect to existing equipment,Sarah Brightman-2/17,Issued
2/8/2019,19CAP-00000177,Building Complaint,998 CENTER ST NW,Atlanta,30318,GA,United States,WORKING OUTSIDE SCOPE OF PERMIT--CST HAS RAISED THE HOUSE AND CREATED A BASEMENT AND MOVED IN A TENANT.  permit scope states foundation repair.,BUILDINGS-OTHER,Assigned to Inspector
2/8/2019,ZLA-201900704,Business Licenses,33 PEACHTREE PL NE,Atlanta,30309,GA,United States,WHICHWICH / UNIT 5 / AKA 915 WEST PEACHTREE ST SANDWICH SHOP,WHICHWICH / UNIT 5 / AKA 915 WEST PEACHTREE ST,License Approved
2/8/2019,QCR-2019-00733,Commercial QCR,521 EDGEWOOD AVE SE,Atlanta,30312,GA,United States,"The project is an adaptive reuse renovation converting three existing industrial spaces into three (3) separate restaurants with the exterior along Edgewood converting facade.Addresses included are: 521, 525, 537 Edgewood Avenue, Atlanta",527 Edgewood Ave - Commercial Reno,Plan Inspection
2/8/2019,ZLA-201900689,Business Licenses,1820 PEACHTREE RD NW,Atlanta,30309,GA,United States,CHANGE OF ADDRESS SUITE 1010REAL ESTATE BROKERAGEJEFFREY T JOHNSON-OWNER,ABOVE ATLANTA - SUITE 1010,Zoning Review
2/8/2019,ZLA-201900688,Business Licenses,715 DARLINGTON CIR NE,Atlanta,30305,GA,United States,"THE CANDY BOMB, LLCONLINE GIFT BASKETS (BUSINESS LISTING ONLY)","THE CANDY BOMB, LLC",License Approved
2/8/2019,19CAP-00000185,Building Complaint,989 MORELAND AVE SE,Atlanta,30316,GA,United States,DEMOLITION AND CONSTRUCTION WORK BEING DONE WITHOUT SILT FENCING AND A CONSTRUCTION ENTRANCE.,Buildings-Other Case,Potential Duplicate
2/8/2019,BT-201900315,Temporary Power,985 MEMORIAL DR SE,Atlanta,30316,GA,United States,ELECTRICAL TEMPORARY POWER PERMIT,985 MEMORIAL DR SE AKA HERITAGE ON MEMORIAL BLDG 1 UNIT 7,Issued
2/8/2019,ZLA-201900683,Business Licenses,730 PEACHTREE ST NE,Atlanta,30308,GA,United States,ADVANCE TRANSPORTATION SERVICES LLC. - #570NON-EMERGENCY TRANSPORTATION (NO COMMERCIAL - OFFICE USE ONLY),ADVANCE TRANSPORTATION SERVICES LLC. - #570,License Approved
2/8/2019,ZLA-201900706,Business Licenses,800 CHEROKEE AVE SE,Atlanta,30315,GA,United States,"CEMROCK LANDSCAPES, INC DBA CEMROCKVP- BUSINESS DEVELOPMENT","CEMROCK LANDSCAPES, INC DBA CEMROCK",License Approved
2/8/2019,19TMP-005232,Temporary Power,924 NORTHSIDE DR NW,Atlanta,30318,GA,United States,,,
2/8/2019,BA-201900969,Arborist Dead Dying Hazardous Tree,1955 KING GEORGE LN SW,Atlanta,30331,GA,United States,DDH,DDH,Issued
2/8/2019,BE-201901660,Residential - Low Voltage,4086 POWERS FERRY RD NW,Atlanta,30342,GA,United States,"PREWIRE FOR CATV, DATA, CAMERAS, AUDIO , VIDEO, SECURITY",CHRIS MOFFET,Issued
2/8/2019,BE-201901659,Commercial - Low Voltage,3630 PEACHTREE RD NE,Atlanta,30326,GA,United States,ALPHA CAPITAL MGMT - 10TH FLOOR - SUITE #1075DATA JACKS,COMMERCIAL / LOW VOLTAGE - ALPHA CAPITAL MGMT 10 FLR STE #1075,Issued
2/8/2019,ZLA-201900693,Business Licenses,1231 COLLIER RD NW,Atlanta,30318,GA,United States,ART RENTALMARIA NAY-OWNER,GEORGIA FILM ART,Zoning Review
2/8/2019,BE-201901658,Residential - Electrical,2530 HOSEA L WILLIAMS DR NE,Atlanta,30317,GA,United States,DISCONNECT AND RECONNECT,RESIDENTIAL / ELECTRICAL - DISC. RECON.,Issued
2/8/2019,ZLA-201900692,Business Licenses,491 FLAT SHOALS AVE SE,Atlanta,30316,GA,United States,PEACEFUL CLOUDS LLC RETAIL CONDITION: NO SMOKE LOUNGE OR SMOKING AT THE LOCATION- TOBACCO RETAIL ONLY - PREVIOUSLY RETAIL CLOTHING STORE,PEACEFUL CLOUDS LLC,License Approved
2/8/2019,QCR-2019-00722,Commercial QCR,349 14TH ST NW,Atlanta,30318,GA,United States,"AT&T GA3043: Remove (3) antennas and (3) TMA's install (3) antennas, 6 RRUS, 1 DC6 and 3 cables on existing unmanned cell tower.",AT&T GA3043,Create Application
2/8/2019,19TMP-005139,Residential - Electrical,655 LAMBERT DR NE,Atlanta,30324,GA,United States,WIRE LOW VOLT AT 655 LAMBERT LOT 88 MANCHESTER,88 MANCHESTER LOW VOLT,
2/8/2019,ZLA-201900690,Business Licenses,619 EDGEWOOD AVE SE,Atlanta,30312,GA,United States,"RAW BEAUTY, LLC / STE 104BB-201808140BEAUTY SALON AND BOUTIQUE","RAW BEAUTY, LLC / STE 104",License Approved
2/8/2019,BM-201900754,Residential - HVAC,2701 HOOD AVE NW,Atlanta,30318,GA,United States,RESIDENTIAL / HVAC2.5 TON HEAT PUMP WITH 10 KW STRIP,RESIDENTIAL / HVAC,Issued
2/8/2019,BA-201900946,Arborist Dead Dying Hazardous Tree,6 WHITEWATER TRL NW,Atlanta,30327,GA,United States,,,Accepted
2/8/2019,BA-201900952,Arborist Dead Dying Hazardous Tree,1148 REEDER CIR NE,Atlanta,30306,GA,United States,,,Accepted
2/8/2019,BT-201900322,Temporary Power,72 WALTHALL ST SE,Atlanta,30316,GA,United States,Temporary Power,72 Walthall Street,Accepted
2/8/2019,BM-201900753,Residential - HVAC,210 PEACHTREE CIR NE,Atlanta,30309,GA,United States,GAS LINE TO POOL,RESIDENTIAL/HVAC,Invoiced
2/8/2019,BE-201901705,Commercial - Electrical,1100 PEACHTREE ST NE,Atlanta,30309,GA,United States,"Temporary Generators    Two - 56 kw,  three - 20 kw",Steam House Lounge,Issued
2/8/2019,BE-201901700,Commercial - Electrical,3711 MARTIN L KING JR DR SW,Atlanta,,GA,United States,installing electrical feeders,COA Trailers,Online Permit Pending
2/8/2019,BE-201901692,Commercial - Electrical,401 MEMORIAL DR SE,Atlanta,30312,GA,United States,"HOT WATER HEATER, DRYER,GFCI, TWO NEW  LIGHTING CIRCUITS",BUILDING BASEMENT STEFAN,Issued
2/8/2019,QCR-2019-00736,Residential QCR,521 EDGEWOOD AVE SE,Atlanta,30312,GA,United States,"The project is an adaptive reuse renovation converting three existing industrial spaces into three (3) separate restaurants with the exterior along Edgewood converting facade.Addresses included are: 521, 525, 537 Edgewood Avenue, Atlanta",527 Edgewood Ave - Commercial Reno,Plan Inspection
2/8/2019,BB-201900979,Multi Family New,3478 LAKESIDE DR NE,Atlanta,30326,GA,United States,"TOWER PHASING PERMIT FLOORS G1, G2, 1 THRU 8 (114 UNITS)REF PERMIT #BB-201709051",Amli Oak Valley PHASE 1 (CO) (MP),Open
2/8/2019,ZLA-201900681,Business Licenses,299 NORTH HIGHLAND AVE NE,Atlanta,30307,GA,United States,RETAIN BUSINESS LISTING ONLY FOR HOME OCCUPATION,LAURA GOMEZ DESIGN INC,License Approved
2/8/2019,BE-201901687,Residential - Low Voltage,50 LAKELAND DR NE,Atlanta,30305,GA,United States,PHONES CABLES SECURITY,LAKELAND TOWNHOMES: UNIT 21 (LC)- 3449 LANDEN PINE COURT NE,Issued
2/8/2019,BE-201901686,Residential - Electrical,268 MONUMENT AVE SE,Atlanta,30316,GA,United States,RESIDENTIAL / ELECTRICAL / T-POLE T- POLE,RESIDENTIAL / ELECTRICAL / T-POLE,Issued
2/8/2019,BT-201900312,Temporary Power,1581 MIMS ST SW,Atlanta,30314,GA,United States,TEMP POWER,1581 MIMS STREET SW,Issued
2/8/2019,BA-201900964,Arborist Plan Review,505 CARTER AVE SE,Atlanta,30317,GA,United States,,KAGAN RESIDENCE FENCE REPLACMENT/REAR RAILINGS,Accepted
2/8/2019,BE-201901683,Residential - Electrical,1581 MIMS ST SW,Atlanta,30314,GA,United States,REWIRING FOR REMODELING,1581 MIMS STREET SW,Issued
2/8/2019,BA-201900962,Arborist Plan Review,383 WOODWARD WAY NW,Atlanta,30305,GA,United States,,HAMMERSMITH'S NEW 2 STORY SINGLE FAMILY RESIDENCE,Accepted
2/8/2019,BT-201900308,Temporary Power,985 MEMORIAL DR SE,Atlanta,30316,GA,United States,ELECTRICAL TEMPORARY POWER PERMIT.,985 MEMORIAL DR SE AKA HERITAGE ON MEMORIAL BLDG 1 UNIT 2,Issued
2/8/2019,19CAP-00000179,Building Complaint,1638 MARTIN L KING JR DR SW,Atlanta,30314,GA,United States,Gutted entire house -no permits,WORKING WITHOUT PERMIT- 1638 Martin L. King Jr. Drive,Pending
2/8/2019,QCR-2019-00714,Residential QCR,633 CHANNING DR NW,Atlanta,30318,GA,United States,NEW SF HOME WITH BASEMENT(DEMO QCR#201900357/ BB#201900556),NEW SFR,Plan Inspection
2/8/2019,BE-201901633,Commercial - Low Voltage,980 HOWELL MILL RD NW,Atlanta,30318,GA,United States,"TOLL BROTHERS - PHASE 4 LOAD, SERVICE & GENERATORINSTALLATION OF LOW VOLTAGE EQUIPMENT WIRE & EQUIPMENT (CAT 6 & COAX)","COMMERCIAL / LOW VOLTAGE - PHASE 4 LOAD, SERVICE & GENERATOR",Issued
2/8/2019,BA-201900977,Arborist Plan Review,2767 HOSEA L WILLIAMS DR SE,Atlanta,30317,GA,United States,,SINGLE FAMILY RES. - ADDITIONS,Posted
2/8/2019,BE-201901704,Commercial - Electrical,555 RALPH MCGILL BLVD NE,Atlanta,30312,GA,United States,Provide and install 6 - 120V 20 amp circuits for the owner furnished equipment.  Provide and install one 240 volt single phase 30 amp circuit for the owner furnished equipment.,555 Ralph McGill NE Wood Working Shop Receptacles,Online Permit Pending
